0, sha256d, 765e83b2a548c96f1d2b708f103479eeb31b114400a6693c508f9ac3f036cd00, 1405741700, 200fffff
1, sha256d, 05e09f20f67189f49b3a6d045eb54c2444a3ab725a22aa5d08920d8b3e338232, 1545516331, 200fffff
2, sha256d, 01e5f8ba9a78972b3f521e813445b569cbc06a4c6f5d842f74f85b975f020992, 1545516333, 200fffff
3, x11, 0d016bd5a16cf9b915d280cc40481b225a061a8de3a2c7d50f044c07986e9387, 1545516337, 200fffff
4, keccak, 0cd618ae1052a005ba494529c86cf18b31d721bf9e5ab95b644c042ed1852286, 1545516340, 200fffff
5, blake14lr, 026cdb39d5a370ce0c0e42247d8d84ed13e110f8476c5dbb59fb76d1175bc7af, 1545516345, 200fffff
6, lyra2rev2, 04abd1a38e55b9144422f150490fc0cb74e14f7a17963509bb9f6ddb423ae39f, 1545516348, 200fffff
7, skein, 059fe7db17199a9135e21c2ea9b8f76cd5b521dfca5d9b52db32752e1f0c3666, 1545516350, 200fffff
8, scrypt, 07118f4bcd2609982b3e1d9f9c9db3c7b5d8a8e3fed798d01e6a7a8de60b3392, 1545516355, 200fffff
9, cryptonight7v2, 058a4e878c13edc4dd5be9b2f825f28835c11cf728f336b5b38e13bdb51c130d, 1545516360, 200fffff
10, sha256d, 003a1b1ce6766d33b88998f4b3b752c4cf412755e4989f2cebcbabc0d02e49f0, 1545516375, 1f534e4a
11, keccak, 002598e595da76f69dd46b595cf3eeb6a35c4f8497114b2104e80c48217d9bd6, 1545516390, 1f7c8822
12, skein, 00660129c3bebcd015ee613540011d15fe040bbc3cf5feb750ab3e06763422f8, 1545516420, 20008363
13, scrypt, 001021263c0607af626f4865e5e1f120f6e8e942d495b07f0abfc9644ad84a90, 1545516435, 20008e1f
14, lyra2rev2, 0058545e90a3e6eb1d783659ddef9de5203330ef484f9631860bcbf677799b5a, 1545516465, 20008cf2
15, blake14lr, 004f46c931228d02bc9a7154ab61c609fb1769ece7358db96ad123a1a7036b90, 1545516480, 2000910a
16, cryptonight7v2, 0064380a3f9bf0bfc736346c63ea0673ee717c95828b6c6146296b505775f4c0, 1545516540, 20009624
17, x11, 004267e942fafe27a10fcac65ec66e33d5b9eb63464de11b3c6edaf3e3ccdb4d, 1545516825, 1f7c8822
18, cryptonight7v2, 0006cec90be5c210e30265edcd98f55d6fed67dc48e8b756d6637132bab82dbb, 1545516870, 1f146abe
19, blake14lr, 000c297dc81bba93fc8c61c8085d550995b3b0b49682391973970b964ba55f90, 1545516885, 1f0f3cea
20, x11, 0014db7249c1f3d9d6d3f63e538605625585e1645ba9128474bfa81f334f3109, 1545517185, 1f235d75
21, scrypt, 000328b81151c9375b1beb30211b37739c611c8754997072a09b90cc7d26ad93, 1545517230, 1f0c3dfb
22, keccak, 0002a19aab3cded3eaadade5bb8ba1b2aef7377de82eeadb404c8f88e04690e1, 1545517275, 1f075f5b
23, lyra2rev2, 0002afa4d9efe2d0041f1773c562cb198f492ae99442d7d4f8046b718b6a69f6, 1545517305, 1f0e5bad
24, cryptonight7v2, 00011c28dcd3e7090619ac04d9507cce37efd406dbe0f0d63946d0ae2104d44a, 1545517515, 1f05efca
25, x11, 00095cfdbf23e25467f0f8162baf35c0e95c42f6d0a012c0b729472358980f34, 1545517530, 1f0de80b
26, cryptonight7v2, 00002afa05510be97ddada62147a85013007f10794acecdda6776a6ad437407e, 1545517620, 1f029c8d
27, keccak, 000056c0f2eb45ee67710b393db0baaa64f9803c35a7946fdbf884535413e7a0, 1545517650, 1f02e63b
28, sha256d, 00040d59757cf9be2f985ea63e414236bde3d01e7388e92a1543e114a1d71124, 1545518520, 1f0419d3
29, x11, 0001683b2289bd9245c11861cce8b4b9cf7fb1441cb9c4c029cdb7609aa61f7e, 1545519105, 1f05f82e
30, skein, 000a7d3e7de85c23613180d4758504fe1daf4dcc1b1cf766d72b4a415718c738, 1545519570, 1f0a962b
31, skein, 0005aef4e7da8bcdd7267d68e63f8b7a892350466dc5a4915bf4b80a31e66279, 1545519840, 1f0813f8
32, scrypt, 0002e094928b12e238b126527c989f048cfb39a277175101bdd17fb37344406b, 1545519930, 1f04d069
33, blake14lr, 00039f247f9d9c1f7be5331558cd028f7a9c0f57ae47aa25d5c3efa77d287af6, 1545520215, 1f0450b3
34, skein, 0001e34c607dea5fd5bc875e918d6f177fd94af8951e1e44813afdfd84ea3595, 1545520380, 1f065382
35, scrypt, 0001e4d8d92dcb6c0adcfbf4801795653b486c868cd3b34283c80035d9c549d9, 1545520650, 1f03c129
36, scrypt, 000094321bd099b1e7a4a6e1341c1578fdea3982050bff6b79960311af635b75, 1545520740, 1f031275
37, x11, 00009adfb9640b082d16919757caf1df06ccef8f7ba07e98d2e998d0bfa878eb, 1545521625, 1f043d16
38, lyra2rev2, 00025055c2df305b1a5d3f17a3d858f3cc56c6ffedfcd4f98e58e0050faafe92, 1545522045, 1f05931e
39, blake14lr, 0000303ff0e20d4331ad0619ce89d8ea0994cb5e5ef3a3093ba03398d3a842e9, 1545522240, 1f0372ac
40, cryptonight7v2, 000049894bdec9a5efa0e313c6be53a850421a937b1491ef4155a3a8da27c800, 1545522465, 1f01267a
41, lyra2rev2, 0003fa71e89f9c7595905a1ed927a75d61aef9e7241c3f3152be5dbe8c06727c, 1545522960, 1f04fc29
42, blake14lr, 0001803fa4255cfea3cdf15b76e4885ddce46e786aadb3a0ab9f09ba82b6d255, 1545523260, 1f031771
43, sha256d, 0001099bd228e969066566ef9835cb5715d35d6f14271f9508d4d8be6f1108b0, 1545523530, 1f028c91
44, skein, 0003982a71ec159996b028f5baf4955cfda2e34fac74ace4771cadda7208c470, 1545523950, 1f05157d
45, blake14lr, 0002d4525f4062779e17084452e3073a3193cbd0da30bbde78123a60f136e242, 1545524205, 1f02db70
46, skein, 0001bf6a751c196e4a7e26915e90c9c2279229a5778dfe86723d5cead489bb96, 1545525555, 1f04c51e
47, x11, 00011d23b9ca030b66669b62f95568f35d690099119ecbd94c6607331006069c, 1545526305, 1f03b6ff
48, blake14lr, 0002ab998ff46a271dfdbf09c8a0c5fbcb89b1202aad82a16ec3be23fa24306b, 1545526890, 1f02b04e
49, lyra2rev2, 00037ab277dce90f870bbc902bdec1ad9482161dff6c0523373b401d06136360, 1545527640, 1f04938c
50, skein, 000029a2f45e64c319608425d71fd876590bdad4fea0e36a32111e37eb1a9148, 1545528060, 1f04a401
51, sha256d, 0000349ce7875ccc9781d371a94eff23ad03e58b6ab84f88aa0f40bfb55e688a, 1545528345, 1f025def
52, skein, 0001e2c49fd6c3ea5ad807903987f75b862f6cd65707a6e144320a41eb105dc6, 1545529065, 1f049cb4
53, blake14lr, 0000a53f6f6ced3930525aac4d5292e020529f1e3b94612c6cc87ceaf4d1abbd, 1545529605, 1f02a791
54, x11, 0001bbae357ffb23a351200a4bf6893eee4532dd47f4ddfc5c3471c4164a4503, 1545530010, 1f03a64a
55, lyra2rev2, 0000097a5e36a14d0248ec777dceeb88ec90d27600436d30ab7af6a7852a2b83, 1545530220, 1f048abe
56, x11, 00030ca25566c4af64df5490555647ea9adccfc5aee79dadbabf4c135204d301, 1545530265, 1f03a4b6
57, skein, 0000e2627045b4ad5c75982e221625b9111fab583ef8fb5a20be01d533c54aa5, 1545530430, 1f0498e0
58, skein, 00030a2bb57131f3ec9ab89250f1cc661c0493f5c947a08e3420bfb083d3c24e, 1545530835, 1f04959b
59, scrypt, 000129afcf120d65795783772342a62c2bd7f85b388f67f5c41cd7f584b3605b, 1545530955, 1f0280c0
60, sha256d, 000069caf83f19100a2a6677c4028e086fd42a08ee194fbb927a1d0ca57c6004, 1545531495, 1f025a64
61, x11, 00026009cb36337cef0554981fa13d619cda32ba4112a9b41cd00b7ce5fe25e1, 1545532275, 1f03a265
62, keccak, 0000885f445175f8adf3e2487897905defe74fd68b0b15712599783d9addcbaa, 1545532875, 1f0142a1
63, scrypt, 0000ada40de5e04375da02f78dc16f4d0801e5db115f69808b9964078428cee7, 1545533220, 1f027f00
64, x11, 000223a129d6e80d8a5c9d74cde3b743a15c1931706da0d22ee6283d80cfc277, 1545533715, 1f03a1a6
65, keccak, 0000025066d317c4ca5baaf39d0ef8909e9c18e17ad58bdb30a6cac3752b3483, 1545534345, 1f01427c
66, sha256d, 00020d5fd13646300d603f3a68373829e22163e5bb7d2cd4807869ef4d1ab4f9, 1545534405, 1f025945
67, x11, 000387099bb45a2832e3d4cf7630342ae9d3c41fc123a833e9b07f4306f3bc06, 1545534960, 1f03a175
68, x11, 000149310ecb7c794adeba4d23b962be8d93c079db3331cf779c43156cd6cf15, 1545535185, 1f03a16a
69, sha256d, 00001bb577aab164382c87f7e63b1f3f9f71d33a072227c0b56ba66e1d0f320a, 1545535845, 1f025933
70, scrypt, 0000658a55e149a24d736698e7a7e9eeb4fac6c4c1fb38147753be31fedd9b25, 1545535875, 1f027ec4
71, lyra2rev2, 0001d6fc771e298a8dfbf9729a48e327d5f62cc6906e282c7e919f25b18668ff, 1545536925, 1f04889c
72, scrypt, 000068655af0441287773c9e18894b3bb698e8aa157c1b70e7f5e3d63bbc229c, 1545537345, 1f027ebe
73, x11, 000107e43e99cb7879b55e4efcb62abba549d84886ae1cc7b3f9275a2c33b479, 1545537600, 1f03a158
74, sha256d, 0001ab87dc12fada452638e40f2a81c3d7ad1ed7946b7b79430bc1af1b5beac4, 1545538245, 1f025932
75, skein, 00033c618a84671e0dc4b1803c9665b91ef5909f806f4005cc34a30d6ad792a5, 1545538950, 1f0492ec
76, x11, 0002064790f3bc48f4290950bdc9952d0b48cfd717d3776a817bccfa0a3bebbc, 1545539670, 1f03a15b
77, sha256d, 00003982ec14556ba492432adebc6ccb370d21ab0ba598d25cb3bd1a03da5097, 1545540105, 1f025937
78, skein, 000038fc9bf8b5852ab9ab7faa451238b7f96cbdef263dd4e3c1644a23460dc6, 1545541380, 1f049307
79, sha256d, 000173596dde50630114f0fbfddb5966f7fe1448fac3210e4913650811b6dabf, 1545542100, 1f025965
80, sha256d, 0000a78e5280b581da0e44e0de7c281b7aa559368cd0e62b5385cb151864120b, 1545542700, 1f025aa7
81, cryptonight7v2, 00002b8453eb7af261487f557cf387442e8eaa8484ba278de65ab70391028d05, 1545542835, 1f010936
82, skein, 0000eebcafa81203675584c6f8cc7720cfbb12d277d0bea62429657e7c041b2f, 1545542985, 1f04949a
83, cryptonight7v2, 000092cc9ea03f1c396e7565d82c8523a7bebdef491d4fddd5be562054624144, 1545543495, 1f0109ce
84, blake14lr, 0000f4831aa7c9b483da263d7820688eaadd2cb86b1cbae09c0fe1884aa8db48, 1545544455, 1f02a61e
85, x11, 0002a407208b7e2955c0604523b5d38b047aef1301acb6619e2b73ee1abce5ba, 1545544500, 1f03a190
86, x11, 0000bea4876abb9f85500175f3d9d2659ba78620506847f06802cd8c208b507c, 1545544650, 1f03a45d
87, scrypt, 0001c787e6e2e80433c863b52997312d0ba9d6607f055e0da2de0452d2b569d2, 1545545280, 1f027ebd
88, sha256d, 000174a12e3a690d3d2aa2093eb50605f461dfe2d7e48833ac7350b648d5ca86, 1545545490, 1f025c44
89, skein, 0000bcf809a3a9d8634cbde92481d251950fc41f04c6a9680f9cf5070c1a2306, 1545546000, 1f0496ca
90, x11, 000322499b4eed919e200bb0c55b455edcd049acece8227b869d60f95fb515fc, 1545546195, 1f03a6c0
91, lyra2rev2, 0003cf23a4ee9b9c2130b69bf83978f93a9ef3edf815991c08f07b55557f9170, 1545546270, 1f04889f
92, x11, 0002dab848c2f33af86a85a55f4eb6bdf556d318ffd844e82012d224ea9cfab9, 1545546750, 1f03a99f
93, sha256d, 00013b4d34540766706ec8cd0f1aaa7642642279c8cd8d717668b983328fb60f, 1545546945, 1f025e13
94, cryptonight7v2, 0000cbab3e322ec077641b6f8818e7ce7322e9cdf24e9acebf0edbac5c5f5a8a, 1545547680, 1f010a66
95, x11, 0001afd9254651c4ab93e6ac83a0c3307798ea37cc909bbfb124f0e5fae4610d, 1545548580, 1f03ac3e
96, blake14lr, 0000596daec8b7aca33764f96eb82dc91c22adfbe567c2c18998254efb5cc8cf, 1545548730, 1f02a8b5
97, x11, 000028f2eafa986456212a70535ce24f37ba38333d56eb324afadf92a524a387, 1545548790, 1f03b0ec
98, x11, 0000c34181d9d067ae4946fb9bdc4ddddc66416af6f2d66d463b421623937977, 1545549210, 1f03b45c
